"sub_num","list","practice","target","abs_order","order","onset","FP","LP","resp","score","phase","class","ls_order","resp_dur","RT","cond_list"
29,3,"S","moon",48,NA,3378148.80760225,3378149.30402733,3378150.00798204,"package",1,"final","sp",3,0.703954709693789,1.97585920011625,2
29,3,"S","alley",49,NA,3378150.25752783,3378152.40786746,3378152.85582258,"alley",1,"final","sp",4,0.44795511988923,3.10384012991562,2
29,3,"S","cafe",50,NA,3378153.19066032,3378153.66378735,3378154.19975285,"smile",1,"final","sp",5,0.535965499933809,1.25591989001259,2
29,3,"S","poison",51,NA,3378154.44057225,3378156.86361566,3378157.46358234,"patch",1,"final","sp",6,0.59996668016538,3.19982830993831,2
29,3,"S","dress",52,NA,3378157.74036105,3378158.18355756,3378159.15149056,"hurricane",1,"final","sp",7,0.967932999599725,1.31994190020487,2
29,3,"S","hurricane",53,NA,3378159.35691934,3378159.76747082,3378160.27943044,"hammer",1,"final","sp",8,0.511959620285779,1.58391325967386,2
29,3,"S","rope",54,NA,3378160.55683971,3378160.99141518,3378161.32736311,"rope",1,"final","sp",9,0.335947930347174,1.22394435992464,2
29,3,"S","patch",55,NA,3378161.62346817,3378165.87918431,3378166.25512392,"cafe",1,"final","sp",10,0.375939609948546,4.88776913005859,2
29,3,"S","briefcase",56,NA,3378166.53978295,3378169.76696371,3378170.74287966,"moon",1,"final","sp",11,0.97591594979167,3.88777940021828,2
29,3,"S","wire",57,NA,3378171.15614202,3378172.15082499,3378172.49479722,"smile",2,"final","sp",12,0.343972229864448,0,2
29,3,"S","hammer",58,NA,3378172.73937945,3378179.91841866,3378180.91031589,"poison",1,"final","sp",13,0.991897230036557,7.76759366970509,2
29,4,"T","mirror",61,NA,3378447.47153087,3378447.80026406,3378448.23218357,"tomb",1,"final","tp",1,0.43191951001063,0.328733189962804,2
29,4,"T","globe",62,NA,3378450.27134064,3378450.56010328,3378450.99207199,"boat",1,"final","tp",2,0.431968709919602,2.75983921997249,2
29,4,"T","boat",63,NA,3378452.00456362,3378452.28799715,3378452.7519565,"note",1,"final","tp",3,0.463959350250661,1.72789386985824,2
29,4,"T","note",64,NA,3378453.15448126,3378453.57593243,3378455.7118151,"thorn",1,"final","tp",4,2.1358826700598,1.28793528024107,2
29,5,"S","chicken",76,NA,3378716.65400902,3378717.11403047,3378717.80196677,"butter",1,"final","sp",1,0.687936299946159,0.460021450184286,3
29,5,"S","frog",77,NA,3378718.3205634,3378718.74592771,3378719.00989544,"bus",1,"final","sp",2,0.263967730104923,1.63189723994583,3
29,5,"S","newspaper",78,NA,3378719.32049609,3378719.72985648,3378720.0258402,"male",0,"final","sp",3,0.295983720105141,0.983928769826889,3
29,5,"S","dentist",79,NA,3378720.23710246,3378720.52182669,3378721.30576838,"husband",1,"final","sp",4,0.783941689878702,0.791970210149884,3
29,5,"S","shield",80,NA,3378721.58702892,3378722.08175158,3378722.56970563,"turtle",1,"final","sp",5,0.487954050302505,1.55992488982156,3
29,5,"S","whip",81,NA,3378722.82026925,3378723.12171549,3378724.01763812,"newspaper",1,"final","sp",6,0.895922630093992,1.0399639098905,3
29,5,"S","soil",82,NA,3378724.2701897,3378724.90558927,3378725.20956076,"frog",1,"final","sp",7,0.30397148989141,1.78387378016487,3
29,5,"S","throne",83,NA,3378725.43677562,3378731.76924719,3378732.13720808,"whip",1,"final","sp",8,0.367960889823735,6.86365792015567,3
29,5,"S","mail",84,NA,3378732.53629874,3378735.62504501,3378737.24092988,"dentist",1,"final","sp",9,1.61588487029076,3.85579781979322,3
29,5,"S","husband",85,NA,3378737.56932319,3378792.03804869,3378793.09399117,"butter",2,"final","sp",10,1.0559424799867,0,3
29,6,"T","basket",91,NA,3379018.68434734,3379019.04209797,3379019.94598935,"basket",1,"final","tp",1,0.90389137994498,0.357750630006194,3
29,6,"T","rain",92,NA,3379020.23424337,3379020.76996226,3379021.00993257,"rain",1,"final","tp",2,0.2399703101255,1.72786429012194,3
29,6,"T","cow",93,NA,3379021.36750511,3379022.12988709,3379022.79383864,"garlic",1,"final","tp",3,0.663951550144702,1.35992483003065,3
29,6,"T","tail",94,NA,3379023.0007362,3379023.14582852,3379024.06577272,"leaf",1,"final","tp",4,0.919944200199097,1.01594142988324,3
29,6,"T","meal",95,NA,3379024.23402815,3379024.30576295,3379024.54571756,"cow",1,"final","tp",5,0.239954610355198,1.15993442991748,3
29,6,"T","coffin",96,NA,3379025.80057647,3379025.94567301,3379026.81763473,"tail",1,"final","tp",6,0.8719617202878,1.63991005998105,3
29,7,"S","weed",106,NA,3379288.96673739,3379289.23578641,3379290.28369765,"fountain",1,"final","sp",1,1.04791123978794,0.269049020018429,4
29,7,"S","steam",107,NA,3379290.63332558,3379291.1156692,3379291.61962747,"king",1,"final","sp",2,0.503958269953728,1.87988279014826,4
29,7,"S","soup",108,NA,3379291.83324806,3379291.92362461,3379292.50758194,"board",1,"final","sp",3,0.583957329858094,0.807955409865826,4
29,7,"S","feast",109,NA,3379292.81650009,3379293.25156877,3379293.73149068,"steam",1,"final","sp",4,0.479921909980476,1.32794415997341,4
29,7,"S","net",110,NA,3379294.06641203,3379294.36349054,3379294.8594061,"weed",1,"final","sp",5,0.495915560051799,1.1119217700325,4
29,7,"S","crowd",111,NA,3379295.09967283,3379295.28344832,3379295.89140639,"chapel",1,"final","sp",6,0.607958070002496,0.919957779813558,4
29,7,"S","lieutenant",112,NA,3379296.23293215,3379296.69937509,3379299.24322422,"leuitenant",0,"final","sp",7,2.54384912969545,1.41592677030712,4
29,8,"T","bucket",121,NA,3379588.36391675,3379588.93993521,3379589.65185897,"bucket",1,"final","tp",1,0.711923759896308,0.576018460094929,4
29,8,"T","pudding",122,NA,3379590.03046389,3379590.37985215,3379590.69981729,"babe",1,"final","tp",2,0.319965139962733,1.4399169399403,4
29,8,"T","babe",123,NA,3379590.96342583,3379591.83576667,3379592.50771022,"turkey",1,"final","tp",3,0.671943549998105,1.45591451972723,4
29,8,"T","key",124,NA,3379592.74696154,3379593.07567963,3379594.74758907,"strawberry",1,"final","tp",4,1.67190943984315,1.23991296021268,4
29,8,"T","mistress",125,NA,3379595.11349651,3379595.63556769,3379596.35550338,"moose",1,"final","tp",5,0.719935690052807,2.55988805973902,4
29,8,"T","flag",126,NA,3379596.64673663,3379597.17148278,3379597.60341497,"frame",1,"final","tp",6,0.431932189967483,1.53591509023681,4
29,8,"T","audience",127,NA,3379597.84663829,3379599.61935882,3379600.33129526,"planet",1,"final","tp",7,0.711936440318823,2.44787603989244,4
29,8,"T","butterfly",128,NA,3379600.56311269,3379600.7392907,3379601.72323547,"wood",1,"final","tp",8,0.983944769948721,1.11993187991902,4
30,1,"T","boss",16,1,3642060.42998281,3642060.76788024,3642061.31179961,"dice",1,"prac","np",1,0.543919370044023,0.337897430174053,1
30,1,"T","cookie",17,2,3642061.67993376,3642062.2317515,3642062.79171514,"boss",1,"prac","np",2,0.559963639825583,1.46387126017362,1
30,1,"T","tape",18,3,3642063.1631065,3642068.02344763,3642068.59940241,"shore",1,"prac","np",3,0.575954779982567,5.79169612983242,1
30,1,"T","shore",19,4,3642069.07936412,3642069.90334076,3642073.67108336,"ridge",1,"prac","np",4,3.76774259982631,1.87989313015714,1
30,1,"T","ribbon",20,5,3642074.07896931,3642075.55900709,3642076.17492827,"metal",1,"prac","np",5,0.615921179763973,5.65566632989794,1
