class,N,time,D
np,6,0.6,1.21038820226716e-10
sp,6,0.6,3.8526330673814e-09
tp,6,0.6,2.25852003826463e-10
np,7,0.6,9.6195361960808e-19
sp,7,0.6,7.70096525106605e-15
tp,7,0.6,4.46442097032841e-13
np,8,0.6,1.95409025237872e-20
sp,8,0.6,3.06741505691821e-19
tp,8,0.6,2.34138295919701e-15
np,9,0.6,0
sp,9,0.6,2.68738234803017e-20
tp,9,0.6,3.05587203997259e-20
np,10,0.6,1.84556240854326e-20
sp,10,0.6,5.88135546085908e-20
tp,10,0.6,3.99015018819549e-20
np,11,0.6,2.05611711304481e-20
sp,11,0.6,3.45088796127544e-20
tp,11,0.6,0
np,12,0.6,2.51514228638404e-20
sp,12,0.6,0
tp,12,0.6,5.49023739394288e-21
np,13,0.6,1.16011412725197e-21
sp,13,0.6,1.1917307987373e-20
tp,13,0.6,1.20681724259165e-20
np,14,0.6,0
sp,14,0.6,2.00237729732948e-21
tp,14,0.6,0
np,15,0.6,1.19517865542186e-21
sp,15,0.6,4.65066151191223e-21
tp,15,0.6,1.30320946798287e-23
np,1,0.7,0.00344148224223453
sp,1,0.7,0.00335542748801628
tp,1,0.7,0.00338227530816941
np,2,0.7,0.000713717147474298
sp,2,0.7,0.000716962909151982
tp,2,0.7,0.000641110926426171
np,3,0.7,6.07168809859839e-05
sp,3,0.7,6.43404112855603e-05
tp,3,0.7,7.82707833116131e-05
np,4,0.7,1.58476566208148e-06
sp,4,0.7,2.62088069512442e-06
tp,4,0.7,5.00195232154343e-06
np,5,0.7,3.25236240020124e-08
sp,5,0.7,1.09863525971694e-07
tp,5,0.7,4.821557945435e-08
np,6,0.7,1.99608225507979e-10
sp,6,0.7,5.90830710990309e-09
tp,6,0.7,3.76447195039447e-10
np,7,0.7,1.90074691500276e-18
sp,7,0.7,1.52183914406401e-14
tp,7,0.7,8.17090791673616e-13
np,8,0.7,0
sp,8,0.7,5.43966522841587e-19
tp,8,0.7,4.65600349849494e-15
np,9,0.7,0
sp,9,0.7,0
tp,9,0.7,1.77029828522544e-21
np,10,0.7,0
sp,10,0.7,5.48122596538572e-22
tp,10,0.7,5.58459154128761e-22
np,11,0.7,9.04991009701563e-21
sp,11,0.7,0
tp,11,0.7,0
np,12,0.7,3.2135329584637e-20
sp,12,0.7,0
tp,12,0.7,1.41959409251483e-21
np,13,0.7,9.16226498227396e-22
sp,13,0.7,6.53420579989484e-21
tp,13,0.7,1.64492684290889e-20
np,14,0.7,0
sp,14,0.7,2.76189972045436e-23
tp,14,0.7,0
np,15,0.7,3.70446891566318e-22
sp,15,0.7,6.68198493090815e-23
tp,15,0.7,5.40831929212965e-22
np,1,0.8,0.00347701664375951
sp,1,0.8,0.00337755444962266
tp,1,0.8,0.00345662542522426
np,2,0.8,0.000804396194380779
sp,2,0.8,0.000808854908814982
tp,2,0.8,0.000721727477373931
np,3,0.8,7.39324534085056e-05
sp,3,0.8,7.89227631268432e-05
tp,3,0.8,9.42381433244382e-05
np,4,0.8,2.16384553212874e-06
sp,4,0.8,3.50499174336178e-06
tp,4,0.8,6.55075359164344e-06
np,5,0.8,4.7787753098039e-08
sp,5,0.8,1.57652253565041e-07
tp,5,0.8,7.13229613297661e-08
np,6,0.8,3.25624472849018e-10
sp,6,0.8,8.96829105249806e-09
tp,6,0.8,6.2063082340399e-10
np,7,0.8,4.32175650645753e-18
sp,7,0.8,2.97211540264556e-14
tp,7,0.8,1.47842199014222e-12
np,8,0.8,1.87173395821712e-22
sp,8,0.8,1.32274868453688e-18
tp,8,0.8,9.14914124104753e-15
np,9,0.8,0
sp,9,0.8,0
tp,9,0.8,2.85074223866867e-20
np,10,0.8,1.32583506360863e-21
sp,10,0.8,1.14192207612205e-20
tp,10,0.8,8.90432095749774e-21
np,11,0.8,8.33864518763279e-21
sp,11,0.8,0
tp,11,0.8,0
np,12,0.8,3.12462560322408e-20
sp,12,0.8,1.60368376291501e-21
tp,12,0.8,5.13106298499323e-22
np,13,0.8,5.68045780995345e-21
sp,13,0.8,1.30514836054895e-20
tp,13,0.8,1.24937390110918e-20
np,14,0.8,0
sp,14,0.8,3.63650129859837e-22
tp,14,0.8,0
np,15,0.8,7.33094901204924e-22
sp,15,0.8,8.79794682569603e-22
tp,15,0.8,1.09958298861067e-22
np,1,0.9,0.00348876459169905
sp,1,0.9,0.0033739683439406
tp,1,0.9,0.0035069614972989
np,2,0.9,0.000900058441439205
sp,2,0.9,0.000905331723798754
tp,2,0.9,0.00080717438659737
np,3,0.9,8.94260912956906e-05
sp,3,0.9,9.6049690578574e-05
tp,3,0.9,0.000112556589282964
np,4,0.9,2.92761898686644e-06
sp,4,0.9,4.64793253161968e-06
tp,4,0.9,8.50021150391416e-06
np,5,0.9,6.95374713938969e-08
sp,5,0.9,2.24052679351482e-07
tp,5,0.9,1.04428650915189e-07
np,6,0.9,5.25536894351422e-10
sp,6,0.9,1.34756754512189e-08
tp,6,0.9,1.01221501319609e-09
np,7,0.9,9.50293441026173e-18
sp,7,0.9,5.73776736394388e-14
tp,7,0.9,2.64505686465426e-12
np,8,0.9,6.90669830582121e-21
sp,8,0.9,3.02428323561826e-18
tp,8,0.9,1.7769290748023e-14
np,9,0.9,0
sp,9,0.9,1.62169624450093e-21
tp,9,0.9,5.66916950863878e-20
np,10,0.9,1.06862306126858e-20
sp,10,0.9,3.6121279111893e-20
tp,10,0.9,1.24088544899291e-20
np,11,0.9,1.53857830398073e-20
sp,11,0.9,2.77657652056639e-21
tp,11,0.9,0
np,12,0.9,4.05464333237539e-20
sp,12,0.9,1.22147246608696e-20
tp,12,0.9,4.32719645067772e-21
np,13,0.9,6.8493606805937e-21
sp,13,0.9,9.03954895633122e-21
tp,13,0.9,1.32418402713472e-20
np,14,0.9,0
sp,14,0.9,1.61110817026507e-22
tp,14,0.9,0
np,15,0.9,1.01385465060256e-21
sp,15,0.9,3.74191156130862e-22
tp,15,0.9,8.76001114259855e-22
np,1,1,0.00347735717513278
sp,1,1,0.00334524738624467
tp,1,1,0.00353276519607887
np,2,1,0.000999913403926081
sp,2,1,0.00100543512866463
tp,2,1,0.000896969994361674
np,3,1,0.000107452407036412
sp,3,1,0.000115988554075877
tp,3,1,0.000133383097373177
np,4,1,3.92538284539158e-06
sp,4,1,6.11254153892025e-06
tp,4,1,1.09294500709841e-05
np,5,1,1.00222073130022e-07
sp,5,1,3.15395330206464e-07
tp,5,1,1.51355972810345e-07
np,6,1,8.39254444536162e-10
sp,6,1,2.00463214608446e-08
tp,6,1,1.63333979527452e-09
np,7,1,2.04484547345562e-17
sp,7,1,1.09521197493624e-13
tp,7,1,4.68009968428924e-12
np,8,1,2.79075533170179e-20
sp,8,1,6.5821845168065e-18
tp,8,1,3.41179487671717e-14
np,9,1,0
sp,9,1,8.22431666854062e-21
tp,9,1,1.31002073106687e-19
np,10,1,3.7653715806486e-21
sp,10,1,2.3350022612544e-20
tp,10,1,3.92675023591518e-21
np,11,1,1.54700117790764e-20
sp,11,1,1.40812094971584e-20
tp,11,1,0
np,12,1,4.28627038944704e-20
sp,12,1,9.48846226391403e-22
tp,12,1,2.42870314623019e-21
np,13,1,3.93149787568723e-21
sp,13,1,7.21132557190471e-21
tp,13,1,1.09169028218109e-20
np,14,1,0
sp,14,1,8.17062000634445e-22
tp,14,1,0
np,15,1,7.27245739759143e-22
sp,15,1,1.89768372037798e-21
tp,15,1,4.43498472072978e-22
np,1,1.1,0.00344395727011173
sp,1,1.1,0.00329255541025524
tp,1,1.1,0.00353411398588508
np,2,1.1,0.00110301143112285
sp,2,1.1,0.00110804294053757
tp,2,1.1,0.000990527796297696
np,3,1.1,0.000128264651297596
sp,3,1.1,0.000138998380295637
tp,3,1.1,0.000156851289131694
np,4,1.1,5.21650483260375e-06
sp,4,1.1,7.97309805331678e-06
tp,4,1.1,1.3926454359193e-05
np,5,1.1,1.43088931604273e-07
sp,5,1.1,4.39810981672274e-07
tp,5,1.1,2.17173810313372e-07
np,6,1.1,1.32629473613616e-09
sp,6,1.1,2.95262267131884e-08
tp,6,1.1,2.60791254634809e-09
np,7,1.1,4.35599022176797e-17
sp,7,1.1,2.06736034507036e-13
tp,7,1.1,8.19076980609379e-12
np,8,1.1,6.17672206211656e-21
sp,8,1.1,1.4236325136333e-17
tp,8,1.1,6.47745875642094e-14
np,9,1.1,0
sp,9,1.1,0
tp,9,1.1,2.64406693886179e-19
np,10,1.1,2.91683713993902e-21
sp,10,1.1,8.03913141589924e-22
tp,10,1.1,2.67089160670283e-21
np,11,1.1,5.64332553102424e-21
sp,11,1.1,0
tp,11,1.1,0
np,12,1.1,3.12345576960251e-20
sp,12,1.1,2.35206951894204e-21
tp,12,1.1,0
np,13,1.1,2.53555246751661e-21
sp,13,1.1,1.11724762381621e-21
tp,13,1.1,8.6681193927797e-21
np,14,1.1,0
sp,14,1.1,0
tp,14,1.1,0
np,15,1.1,3.02206674698838e-22
sp,15,1.1,0
tp,15,1.1,9.24056963391728e-22
np,1,1.2,0.00339019466480013
sp,1,1.2,0.00321758385494014
tp,1,1.2,0.00351166920799898
np,2,1.2,0.00120825813869112
sp,2,1.2,0.00121189088123879
tp,2,1.2,0.00108716290027258
np,3,1.2,0.000152107379363341
sp,3,1.2,0.000165321613647317
tp,3,1.2,0.000183066187631355
np,4,1.2,6.87159281530893e-06
sp,4,1.2,1.03163890402128e-05
tp,4,1.2,1.75873608553803e-05
np,5,1.2,2.02395884847211e-07
sp,5,1.2,6.07620257029689e-07
tp,5,1.2,3.08517185663156e-07
np,6,1.2,2.07438770973641e-09
sp,6,1.2,4.30639059877608e-08
tp,6,1.2,4.12064911241526e-09
np,7,1.2,9.19631572261892e-17
sp,7,1.2,3.85985702068403e-13
tp,7,1.2,1.41808532748429e-11
np,8,1.2,3.71539190706105e-20
sp,8,1.2,3.05923699501331e-17
tp,8,1.2,1.21621428899087e-13
np,9,1.2,0
sp,9,1.2,2.00781439795356e-21
tp,9,1.2,6.02702266200937e-19
np,10,1.2,8.35276090073456e-21
sp,10,1.2,1.03777878277973e-20
tp,10,1.2,1.31197433165616e-20
np,11,1.2,7.29982406998155e-21
sp,11,1.2,5.15649925248051e-21
tp,11,1.2,0
np,12,1.2,2.75846767967143e-20
sp,12,1.2,6.73547180424319e-21
tp,12,1.2,0
np,13,1.2,4.94952731816212e-21
sp,13,1.2,8.04079729261671e-21
tp,13,1.2,9.219116129375e-21
np,14,1.2,0
sp,14,1.2,0
tp,14,1.2,0
np,15,1.2,8.96871421686876e-22
sp,15,1.2,0
tp,15,1.2,9.25685975226707e-22
np,1,1.3,0.00331808477907553
sp,1,1.3,0.0031224753288745
tp,1,1.3,0.00346664115247345
np,2,1.3,0.00131443549498928
sp,2,1.3,0.00131560137208038
tp,2,1.3,0.00118610104614782
np,3,1.3,0.000179208033779831
sp,3,1.3,0.000195175235675872
tp,3,1.3,0.000212099737672477
np,4,1.3,8.97356056756448e-06
sp,4,1.3,1.32426117745141e-05
tp,4,1.3,2.20152642178754e-05
np,5,1.3,2.83664080613093e-07
sp,5,1.3,8.31769500522119e-07
tp,5,1.3,4.33959714536954e-07
np,6,1.3,3.2113482387727e-09
sp,6,1.3,6.22002249466691e-08
tp,6,1.3,6.44367373655442e-09
np,7,1.3,1.91804114251137e-16
sp,7,1.3,7.12899166742943e-13
tp,7,1.3,2.4290706873936e-11
np,8,1.3,8.6848455661276e-20
sp,8,1.3,6.48408134725178e-17
tp,8,1.3,2.25872653123716e-13
np,9,1.3,0
sp,9,1.3,4.5561942107408e-21
tp,9,1.3,1.34626969595482e-18
np,10,1.3,3.97750519082597e-21
sp,10,1.3,3.69617337599189e-20
tp,10,1.3,1.87286156906376e-20
np,11,1.3,2.3303284531095e-20
sp,11,1.3,1.96343625382913e-20
tp,11,1.3,0
np,12,1.3,2.33030857417535e-20
sp,12,1.3,4.0092094072876e-22
tp,12,1.3,5.13106298499333e-22
np,13,1.3,5.4197250894347e-21
sp,13,1.3,1.65725064199406e-20
tp,13,1.3,7.83490481548925e-21
np,14,1.3,0
sp,14,1.3,0
tp,14,1.3,0
np,15,1.3,1.44669259759057e-21
sp,15,1.3,5.34558794472668e-22
tp,15,1.3,5.28614340450623e-22
np,1,1.4,0.00322993601146581
sp,1,1.4,0.00300973334410124
tp,1,1.4,0.00340073321407109
np,2,1.4,0.00142022915118828
sp,2,1.4,0.00141771831354704
tp,2,1.4,0.00128648989413363
np,3,1.4,0.000209767630017547
sp,3,1.4,0.000228741545960076
tp,3,1.4,0.000243987381002868
np,4,1.4,1.16185129704321e-05
sp,4,1.4,1.68660287872986e-05
tp,4,1.4,2.73185077066962e-05
np,5,1.4,3.93974112998746e-07
sp,5,1.4,1.12830733647192e-06
tp,5,1.4,6.04435875255288e-07
np,6,1.4,4.92123103185559e-09
sp,6,1.4,8.89779922729819e-08
tp,6,1.4,9.97314778397516e-09
np,7,1.4,3.95527015886698e-16
sp,7,1.4,1.30270102542964e-12
tp,7,1.4,4.11703734244857e-11
np,8,1.4,1.59059951769294e-19
sp,8,1.4,1.35861149051364e-16
tp,8,1.4,4.14975693354804e-13
np,9,1.4,0
sp,9,1.4,0
tp,9,1.4,2.93082716109554e-18
np,10,1.4,7.29209284984764e-21
sp,10,1.4,3.41663085175722e-20
tp,10,1.4,1.15738636290457e-20
np,11,1.4,1.80811026964159e-20
sp,11,1.4,2.12870866576761e-20
tp,11,1.4,0
np,12,1.4,3.22757096192259e-20
sp,12,1.4,7.35021724669396e-22
tp,12,1.4,9.40694880582115e-22
np,13,1.4,2.51211581848122e-21
sp,13,1.4,1.08169883578571e-20
tp,13,1.4,7.84386411201925e-21
np,14,1.4,0
sp,14,1.4,0
tp,14,1.4,0
np,15,1.4,1.62801660240987e-21
sp,15,1.4,9.80024456533229e-22
tp,15,1.4,2.49238810751756e-22
np,1,1.5,0.00312825112640376
sp,1,1.5,0.00288212328364422
tp,1,1.5,0.00331606829679666
np,2,1.5,0.00152426123620046
sp,2,1.5,0.00151674653130066
tp,2,1.5,0.00138741223155882
np,3,1.5,0.000243950823756567
sp,3,1.5,0.000266158953583328
tp,3,1.5,0.000278725926718227
np,4,1.5,1.49163636032503e-05
sp,4,1.5,2.13152820769788e-05
tp,4,1.5,3.36084530239062e-05
np,5,1.5,5.4230700734917e-07
sp,5,1.5,1.51689254668146e-06
tp,5,1.5,8.33706737750126e-07
np,6,1.5,7.46600043780359e-09
sp,6,1.5,1.26073252568589e-07
tp,6,1.5,1.52789713682493e-08
np,7,1.5,8.0683390303506e-16
sp,7,1.5,2.35544402360498e-12
tp,7,1.5,6.90523451362891e-11
np,8,1.5,3.36032397518726e-19
sp,8,1.5,2.81648936682494e-16
tp,8,1.5,7.54289460471809e-13
np,9,1.5,0
sp,9,1.5,0
tp,9,1.5,6.3343239643463e-18
np,10,1.5,0
sp,10,1.5,2.08286586684663e-20
tp,10,1.5,6.97129688052542e-21
np,11,1.5,1.32145533164282e-20
sp,11,1.5,1.45109177681984e-20
tp,11,1.5,0
np,12,1.5,3.13866360668297e-20
sp,12,1.5,7.10966468225667e-21
tp,12,1.5,0
np,13,1.5,3.86411750971047e-21
sp,13,1.5,2.14985527613121e-21
tp,13,1.5,7.86626235334427e-21
np,14,1.5,0
sp,14,1.5,3.49840631257563e-22
tp,14,1.5,0
np,15,1.5,9.94357445783277e-22
sp,15,1.5,0
tp,15,1.5,3.73858216127637e-22
np,1,1.6,0.00301562809329917
sp,1,1.6,0.0027425697852211
tp,1,1.6,0.00321510148275546
np,2,1.6,0.00162512748506812
sp,2,1.6,0.00161119426821494
tp,2,1.6,0.00148790071977713
np,3,1.6,0.000281875730450017
sp,3,1.6,0.000307513169768326
tp,3,1.6,0.000316272880786511
np,4,1.6,1.89910905413154e-05
sp,4,1.6,2.67332667591397e-05
tp,4,1.6,4.09967600733588e-05
np,5,1.6,7.39929874148033e-07
sp,5,1.6,2.02131973254523e-06
tp,5,1.6,1.13885745414214e-06
np,6,1.6,1.12141773993706e-08
sp,6,1.6,1.76949570886113e-07
tp,6,1.6,2.31712117383655e-08
np,7,1.6,1.62835251850775e-15
sp,7,1.6,4.21462085077956e-12
tp,7,1.6,1.14619681519538e-10
np,8,1.6,8.06530162595771e-19
sp,8,1.6,5.77628203752872e-16
tp,8,1.6,1.35661008041572e-12
np,9,1.6,0
sp,9,1.6,3.08122286455181e-20
tp,9,1.6,1.36638646646899e-17
np,10,1.6,1.00233130808814e-20
sp,10,1.6,4.49460529161643e-20
tp,10,1.6,2.04066910233337e-20
np,11,1.6,1.35795445199273e-20
sp,11,1.6,1.51554801747585e-20
tp,11,1.6,0
np,12,1.6,3.51067069834349e-20
sp,12,1.6,1.66515830716012e-20
tp,12,1.6,0
np,13,1.6,6.56226172991013e-21
sp,13,1.6,4.43513450666438e-21
tp,13,1.6,6.33422264671343e-21
np,14,1.6,6.14146827795793e-23
sp,14,1.6,4.32697622871199e-22
tp,14,1.6,0
np,15,1.6,8.18882602409753e-23
sp,15,1.6,0
tp,15,1.6,7.8681271629476e-22
np,1,1.7,0.00289466543186764
sp,1,1.7,0.00259405551005568
tp,1,1.7,0.00310052356752806
np,2,1.7,0.00172143725932933
sp,2,1.7,0.00169961689287204
tp,2,1.7,0.00158695380075192
np,3,1.7,0.000323603952446394
sp,3,1.7,0.000352829215085661
tp,3,1.7,0.000356547301268618
np,4,1.7,2.39805328944717e-05
sp,4,1.7,3.32764616504718e-05
tp,4,1.7,4.95922464225268e-05
np,5,1.7,1.00082384429872e-06
sp,5,1.7,2.67004490095132e-06
tp,5,1.7,1.5408085560172e-06
np,6,1.7,1.66781504206665e-08
sp,6,1.7,2.46035607786309e-07
tp,6,1.7,3.47875140170282e-08
np,7,1.7,3.25121228384795e-15
sp,7,1.7,7.46351830557898e-12
tp,7,1.7,1.88305014794803e-10
np,8,1.7,1.80992930291682e-18
sp,8,1.7,1.17187238868948e-15
tp,8,1.7,2.41442692624306e-12
np,9,1.7,0
sp,9,1.7,9.19347323370664e-20
tp,9,1.7,2.91234299899997e-17
np,10,1.7,2.12398777190107e-20
sp,10,1.7,3.81310619658679e-20
tp,10,1.7,2.99355689575504e-20
np,11,1.7,1.57975679873448e-20
sp,11,1.7,1.75519301478664e-20
tp,11,1.7,0
np,12,1.7,3.62999372774404e-20
sp,12,1.7,8.04514687729048e-21
tp,12,1.7,0
np,13,1.7,7.08372717094762e-21
sp,13,1.7,1.06984923977553e-20
tp,13,1.7,9.23703472243501e-21
np,14,1.7,4.93364618329288e-22
sp,14,1.7,0
tp,14,1.7,0
np,15,1.7,1.73525122891591e-22
sp,15,1.7,0
tp,15,1.7,8.99214532908303e-22
np,1,1.8,0.00276787645789244
sp,1,1.8,0.00243952576629447
tp,1,1.8,0.00297516035782864
np,2,1.8,0.00181185477477289
sp,2,1.8,0.00178065989460421
tp,2,1.8,0.00168355240172342
np,3,1.8,0.000369131337585371
sp,3,1.8,0.00040206465482487
tp,3,1.8,0.000399432134118139
