subject,group,practice,other_type,timepoint,acc,n,chain,nplus,acc_plus,nneg,acc_neg
36,delay,C,T,3,0,15,1,2,0,13,0
36,delay,C,NA,3,0.133333333333333,15,2,NA,NA,NA,NA
36,delay,S,NA,3,0.2,15,3,NA,NA,NA,NA
36,delay,T,C,3,NA,15,4,NA,NA,NA,NA
36,delay,T,NA,3,0.0666666666666667,15,5,3,0.333333333333333,12,0
37,delay,C,T,1,NA,15,1,NA,NA,NA,NA
37,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
37,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
37,delay,T,C,1,0.8,15,4,NA,NA,NA,NA
37,delay,T,NA,1,0.733333333333333,15,5,NA,NA,NA,NA
37,delay,C,T,3,0.666666666666667,15,1,12,0.75,3,0.333333333333333
37,delay,C,NA,3,0.466666666666667,15,2,NA,NA,NA,NA
37,delay,S,NA,3,0.8,15,3,NA,NA,NA,NA
37,delay,T,C,3,NA,15,4,NA,NA,NA,NA
37,delay,T,NA,3,0.666666666666667,15,5,11,0.909090909090909,4,0
38,delay,C,T,1,NA,15,1,NA,NA,NA,NA
38,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
38,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
38,delay,T,C,1,0.266666666666667,15,4,NA,NA,NA,NA
38,delay,T,NA,1,0.466666666666667,15,5,NA,NA,NA,NA
38,delay,C,T,3,0.133333333333333,15,1,4,0,11,0.181818181818182
38,delay,C,NA,3,0.0666666666666667,15,2,NA,NA,NA,NA
38,delay,S,NA,3,0.4,15,3,NA,NA,NA,NA
38,delay,T,C,3,NA,15,4,NA,NA,NA,NA
38,delay,T,NA,3,0.4,15,5,7,0.714285714285714,8,0.125
39,delay,C,T,1,NA,15,1,NA,NA,NA,NA
39,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
39,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
39,delay,T,C,1,0.4,15,4,NA,NA,NA,NA
39,delay,T,NA,1,0.2,15,5,NA,NA,NA,NA
39,delay,C,T,3,0.266666666666667,15,1,6,0.5,9,0.111111111111111
39,delay,C,NA,3,0,15,2,NA,NA,NA,NA
39,delay,S,NA,3,0.533333333333333,15,3,NA,NA,NA,NA
39,delay,T,C,3,NA,15,4,NA,NA,NA,NA
39,delay,T,NA,3,0.2,15,5,3,1,12,0
40,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
40,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
40,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
40,immediate,T,C,1,0.4,15,4,NA,NA,NA,NA
40,immediate,T,NA,1,0.4,15,5,NA,NA,NA,NA
40,immediate,C,T,2,0.266666666666667,15,1,6,0.333333333333333,9,0.222222222222222
40,immediate,C,NA,2,0.133333333333333,15,2,NA,NA,NA,NA
