subject,group,practice,other_type,prac_acc,final_acc,n,chain,acc_plus,nplus,acc_neg,nneg,prac_and_final,prac_and_not_final,not_prac_and_final,not_prac_and_not_final
50,delay,C,T,NA,0.6,15,1,0.642857142857143,14,0,1,0.6,0.333333333333333,0,0.0666666666666667
50,delay,C,NA,NA,0.6,15,2,NA,NA,NA,NA,NA,NA,NA,NA
50,delay,S,NA,NA,0.866666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
50,delay,T,C,0.933333333333333,NA,15,4,NA,14,NA,1,NA,NA,NA,NA
50,delay,T,NA,0.866666666666667,0.866666666666667,15,5,0.923076923076923,13,0.5,2,0.8,0.0666666666666667,0.0666666666666667,0.0666666666666667
51,immediate,C,T,NA,0.266666666666667,15,1,0.75,4,0.0909090909090909,11,0.2,0.0666666666666667,0.0666666666666667,0.666666666666667
51,immediate,C,NA,NA,0.333333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
51,immediate,S,NA,NA,0.533333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
51,immediate,T,C,0.266666666666667,NA,15,4,NA,4,NA,11,NA,NA,NA,NA
51,immediate,T,NA,0.4,0.466666666666667,15,5,1,6,0.111111111111111,9,0.4,0,0.0666666666666667,0.533333333333333
52,delay,C,T,NA,0.4,15,1,0.5,6,0.333333333333333,9,0.2,0.2,0.2,0.4
52,delay,C,NA,NA,0.333333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
52,delay,S,NA,NA,0.6,15,3,NA,NA,NA,NA,NA,NA,NA,NA
52,delay,T,C,0.4,NA,15,4,NA,6,NA,9,NA,NA,NA,NA
52,delay,T,NA,0.666666666666667,0.533333333333333,15,5,0.8,10,0,5,0.533333333333333,0.133333333333333,0,0.333333333333333
53,immediate,C,T,NA,0.266666666666667,15,1,0.333333333333333,6,0.222222222222222,9,0.133333333333333,0.266666666666667,0.133333333333333,0.466666666666667
53,immediate,C,NA,NA,0,15,2,NA,NA,NA,NA,NA,NA,NA,NA
53,immediate,S,NA,NA,0.333333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
53,immediate,T,C,0.4,NA,15,4,NA,6,NA,9,NA,NA,NA,NA
